,player_id,tourney_name,wins,lose,games
0,100644,Acapulco,12.0,3.0,15.0
1,100644,Aix en Provence CH,3.0,1.0,4.0
2,100644,Atp Cup,1.0,5.0,6.0
3,100644,Auckland,1.0,1.0,2.0
4,100644,Australian Open,16.0,7.0,23.0
5,100644,Barcelona,3.0,3.0,6.0
6,100644,Basel,3.0,3.0,6.0
7,100644,Beijing,9.0,4.0,13.0
8,100644,Braunschweig CH,5.0,0.0,0.0
9,100644,Canada Masters,9.0,3.0,12.0
10,100644,Cologne 1,4.0,0.0,0.0
11,100644,Cologne 2,4.0,0.0,0.0
12,100644,Dusseldorf,2.0,1.0,3.0
13,100644,Geneva,4.0,0.0,0.0
14,100644,Halle,11.0,5.0,16.0
15,100644,Hamburg,7.0,4.0,11.0
16,100644,Heilbronn CH,5.0,0.0,0.0
17,100644,Heilbronn II CH,1.0,1.0,2.0
18,100644,Indian Wells Masters,5.0,5.0,10.0
19,100644,Irving CH,2.0,1.0,3.0
20,100644,Istanbul CH,1.0,1.0,2.0
21,100644,Madrid Masters,15.0,2.0,17.0
22,100644,Marrakech,1.0,1.0,2.0
23,100644,Marseille,4.0,3.0,7.0
24,100644,Metz,2.0,2.0,4.0
25,100644,Miami Masters,12.0,6.0,18.0
26,100644,Mons CH,2.0,1.0,3.0
27,100644,Monte Carlo Masters,8.0,5.0,13.0
28,100644,Montpellier,9.0,2.0,11.0
29,100644,Munich,14.0,5.0,19.0
30,100644,Nice,3.0,1.0,4.0
31,100644,Paris Masters,7.0,4.0,11.0
32,100644,Roland Garros,19.0,7.0,26.0
33,100644,Rome Masters,13.0,4.0,17.0
34,100644,Rotterdam,3.0,5.0,8.0
35,100644,Shanghai Masters,9.0,4.0,13.0
36,100644,Shenzhen,1.0,1.0,2.0
37,100644,St. Petersburg,5.0,0.0,0.0
38,100644,St. Remy CH,2.0,1.0,3.0
39,100644,Stockholm,2.0,1.0,3.0
40,100644,Tour Finals,7.0,6.0,13.0
41,100644,US Open,8.0,5.0,13.0
42,100644,Us Open,6.0,1.0,7.0
43,100644,Vienna,4.0,2.0,6.0
44,100644,Washington,13.0,1.0,14.0
45,100644,Wimbledon,10.0,5.0,15.0
46,100644,s Hertogenbosch,2.0,1.0,3.0
46809,100644,Barranquilla CH,0.0,1.0,0.0
46810,100644,Brisbane,0.0,1.0,0.0
46811,100644,Caltanissetta CH,0.0,1.0,0.0
46812,100644,Cincinnati Masters,0.0,6.0,0.0
46813,100644,Delray Beach,0.0,1.0,0.0
46814,100644,Dubai,0.0,1.0,0.0
46815,100644,Houston,0.0,2.0,0.0
46816,100644,Izmir CH,0.0,1.0,0.0
46817,100644,Kitzbuhel,0.0,1.0,0.0
46818,100644,Marburg CH,0.0,1.0,0.0
46819,100644,Meerbusch CH,0.0,1.0,0.0
46820,100644,Orleans CH,0.0,1.0,0.0
46821,100644,Rennes CH,0.0,1.0,0.0
46822,100644,Sarasota CH,0.0,2.0,0.0
46823,100644,Stuttgart,0.0,2.0,0.0
46824,100644,Umag,0.0,1.0,0.0
